state,combined_name,company_name,ticker,product_type,product_units,jan_2019,feb_2019,mar_2019,apr_2019,may_2019,jun_2019,jul_2019,aug_2019,sep_2019,oct_2019,nov_2019,dec_2019,jan_2020,feb_2020,mar_2020,apr_2020,may_2020,jun_2020,jul_2020,aug_2020,sep_2020,oct_2020,nov_2020,dec_2020,jan_2021,feb_2021,mar_2021
ND,PetroHunt LLC (Private),PetroHunt LLC,Private,sat estimate lower,Mcf,111039,68615,224202,151042,176554,185361,165329,741905,397783,424867,342328,782788,695676,323150,262213,109400,21257,12505,4125,130714,294597,171074,273328,253320,127419,311430,326112
ND,PetroHunt LLC (Private),PetroHunt LLC,Private,sat estimate upper,Mcf,140267,86676,283218,190800,223027,234153,208848,937195,502491,536705,432438,988840,878798,408212,331235,138197,26853,15797,5210,165122,372143,216106,345275,320001,160959,393408,411955
ND,PetroHunt LLC (Private),PetroHunt LLC,Private,blended estimate,Mcf,194340,152322,316025,289499,320092,252642,215457,720066,560997,524057,523665,838411,885535,404477,316622,172147,21152,29346,32620,130305,288657,246926,329948,297255,182823,335946,369033
ND,PetroHunt LLC (Private),PetroHunt LLC,Private,produced oil,Bbl,1443494,1270142,1390768,1262012,1254074,1153614,1168575,1403246,1288724,1327917,1240772,1385478,1419947,1255969,1221696,807300,170484,337370,523610,752471,1324490,1407102,1380098,1402140,1368310,1285529,
ND,PetroHunt LLC (Private),PetroHunt LLC,Private,produced gas,Mcf,2514401,2230653,2536196,2350212,2467992,2305235,2386491,2791575,2768401,2706176,2600740,2873581,3013465,2737244,2646360,1738292,310253,525319,869623,1248775,2345694,2691432,2758010,2779331,2738455,2611666,
ND,Rimrock Oil And Gas (Private),Rimrock Oil And Gas,Private,blended estimate equivalent co2 released,Metric tons,6058.9620,3009.9996,11708.2940,8206.3548,7265.0004,9389.7608,9382.9656,8314.4204,3695.3284,5742.6016,4925.0404,4700.1960,8250.9620,3976.1236,4069.6124,1855.0896,,2458.2732,1856.7336,1973.8412,2013.9000,4006.0992,8633.6304,5704.7348,3958.8068,1912.5748,468.5400
ND,Rimrock Oil And Gas (Private),Rimrock Oil And Gas,Private,reported equivalent co2 released,Metric tons,5065.5476,3715.4400,11175.6928,9451.8492,7834.8108,9711.8752,10216.6380,9526.2128,5481.7536,8244.8792,7500.1472,7522.5604,9825.6948,5133.7736,5165.7768,2600.0956,,3009.3420,3184.9212,3025.8916,3563.6440,5411.1712,9895.1812,8068.5876,6447.1104,3308.8240,3817.0392
ND,Rimrock Oil And Gas (Private),Rimrock Oil And Gas,Private,sat estimated volume,Mcf,128693,42053,223373,127023,122175,165467,156008,129611,34835,59131,42881,34266,121829,51431,54260,20257,,34803,9646,16821,8470,47465,134527,60965,26834,9421,8550
ND,Rimrock Oil And Gas (Private),Rimrock Oil And Gas,Private,reported volume,Mcf,92437,67800,203936,172479,142971,177224,186435,173836,100032,150454,136864,137273,179301,93682,94266,47447,,54915,58119,55217,65030,98744,180569,147237,117648,60380,69654
ND,Rimrock Oil And Gas (Private),Rimrock Oil And Gas,Private,sat estimate lower,Mcf,64476,21069,111911,63639,61210,82900,78161,64936,17453,29625,21484,17168,61037,25767,27184,10149,,17436,4833,8427,4243,23780,67399,30544,13444,4720,4283
ND,Rimrock Oil And Gas (Private),Rimrock Oil And Gas,Private,sat estimate upper,Mcf,192911,63038,334835,190407,183140,248034,233856,194286,52217,88636,64278,51365,182621,77095,81335,30366,,52169,14459,25214,12696,71149,201655,91387,40224,14122,12816
ND,Rimrock Oil And Gas (Private),Rimrock Oil And Gas,Private,blended estimate,Mcf,110565,54927,213655,149751,132573,171346,171222,151723,67433,104792,89873,85770,150565,72557,74263,33852,,44859,33882,36019,36750,73104,157548,104101,72241,34901,8550
ND,Rimrock Oil And Gas (Private),Rimrock Oil And Gas,Private,produced oil,Bbl,508955,414069,620570,630424,577101,568150,627003,601723,586487,616548,675164,625746,703619,678847,755753,436962,,568530,584478,595346,554953,527527,490377,490775,448429,366805,
ND,Rimrock Oil And Gas (Private),Rimrock Oil And Gas,Private,produced gas,Mcf,515447,447601,592438,582457,574268,591821,699555,663039,693601,743899,756217,744167,857664,844461,936011,620660,,565404,727225,816283,851712,831883,791012,878697,857970,724126,
ND,Slawson Exploration Co Inc (Private),Slawson Exploration Co Inc,Private,blended estimate equivalent co2 released,Metric tons,4856.3212,5430.3512,6778.2120,4791.2736,12638.1952,27635.0372,11007.2376,13123.3944,10686.2740,11060.1196,7925.6692,11475.7776,22359.6604,15778.6188,7417.1252,1795.6316,184.0184,,782.1056,1101.5896,763.3640,1787.3568,3244.5436,2894.8100,4142.8252,11305.8976,12694.6940
ND,Slawson Exploration Co Inc (Private),Slawson Exploration Co Inc,Private,reported equivalent co2 released,Metric tons,7239.7376,8224.6580,8673.4152,6419.1076,13465.6752,24990.2248,11825.0180,13593.7428,10921.8592,12366.7160,11016.9920,16162.8216,24302.4848,20623.7060,11769.1768,2742.2468,324.9640,,888.3628,1804.8380,1393.0160,3298.3024,3853.5908,4634.6552,7577.7988,13187.4556,
ND,Slawson Exploration Co Inc (Private),Slawson Exploration Co Inc,Private,sat estimated volume,Mcf,45126,48103,89106,57728,215523,552552,185939,230894,190706,177984,88218,123882,372570,199518,55933,15492,785,,12334,7269,2439,5044,48093,21076,12916,171977,231655
ND,Slawson Exploration Co Inc (Private),Slawson Exploration Co Inc,Private,reported volume,Mcf,132112,150085,158274,117137,245724,456026,215785,248061,199304,225670,201040,294942,443476,376345,214766,50041,5930,,16211,32935,25420,60188,70321,84574,138281,240647,
ND,Slawson Exploration Co Inc (Private),Slawson Exploration Co Inc,Private,sat estimate lower,Mcf,29912,31886,59065,38265,142861,366264,123251,153050,126411,117978,58476,82116,246961,132252,37076,10269,520,,8176,4819,1617,3343,31879,13970,8562,113996,153554
ND,Slawson Exploration Co Inc (Private),Slawson Exploration Co Inc,Private,sat estimate upper,Mcf,60340,64321,119148,77190,288185,738841,248627,308739,255001,237989,117961,165648,498179,266784,74790,20715,1050,,16492,9720,3262,6744,64307,28181,17271,229957,309755
ND,Slawson Exploration Co Inc (Private),Slawson Exploration Co Inc,Private,blended estimate,Mcf,88619,99094,123690,87432,230624,504289,200862,239478,195005,201827,144629,209412,408023,287931,135349,32767,3358,,14272,20102,13930,32616,59207,52825,75599,206312,231655
ND,Slawson Exploration Co Inc (Private),Slawson Exploration Co Inc,Private,produced oil,Bbl,737357,846788,1097408,1178939,1500325,1595746,1333427,1446880,1236028,1374340,1278751,1558001,1814762,1636793,1187486,346610,43071,,247388,446415,568673,663781,688824,1003624,1089693,1442172,
ND,Slawson Exploration Co Inc (Private),Slawson Exploration Co Inc,Private,produced gas,Mcf,899188,966273,1229694,1275126,1503199,1634724,1617506,1664748,1387456,1505363,1513028,1874491,2142625,1871991,1488359,440680,45146,,206021,446712,630753,724254,765345,1110045,1305633,1658392,
ND,Whiting Petroleum Corp (WLL),Whiting Petroleum Corp,WLL,reported equivalent co2 released,Metric tons,99036.2588,88551.5940,102245.2372,67735.7592,75150.5828,82100.5928,80622.1436,97488.5972,91036.5000,137028.7152,98261.0580,94005.3996,53015.9860,47197.8700,50227.3784,39559.6268,15846.6256,17172.3472,20993.6608,18767.0272,15421.5968,19298.2036,22556.9952,22978.1880,21776.9172,24283.7432,18451.1600
ND,Whiting Petroleum Corp (WLL),Whiting Petroleum Corp,WLL,blended estimate equivalent co2 released,Metric tons,110552.5884,88334.3668,110486.3352,53678.2988,62229.0168,81130.6328,84608.4600,122736.2724,96758.5516,120210.9240,82485.6724,80620.1160,49697.5720,49600.9048,56541.9824,38083.4792,14245.4244,11382.5628,17154.0988,21776.0952,17099.2440,17731.7456,28735.8596,24744.0632,19100.6496,26034.8772,17499.4484
ND,Whiting Petroleum Corp (WLL),Whiting Petroleum Corp,WLL,sat estimated volume,Mcf,2227535,1607976,2166558,723007,899771,1462786,1616692,2700438,1870083,1886737,1217341,1226914,846334,948978,1147018,668016,230735,102059,242965,452285,342644,294988,637130,483758,299715,507044,319333
ND,Whiting Petroleum Corp (WLL),Whiting Petroleum Corp,WLL,reported volume,Mcf,1807231,1615905,1865789,1236054,1371361,1498186,1471207,1778989,1661250,2500524,1793085,1715427,967445,861275,916558,721891,289172,313364,383096,342464,281416,352157,411624,419310,397389,443134,336700
ND,Whiting Petroleum Corp (WLL),Whiting Petroleum Corp,WLL,sat estimate lower,Mcf,2220414,1602836,2159632,720696,896895,1458110,1611524,2691805,1864105,1880705,1213449,1222992,843629,945944,1143351,665881,229997,101732,242189,450839,341549,294045,635093,482212,298757,505423,318312
ND,Whiting Petroleum Corp (WLL),Whiting Petroleum Corp,WLL,sat estimate upper,Mcf,2234656,1613117,2173484,725319,902647,1467462,1621861,2709070,1876062,1892768,1221233,1230836,849040,952011,1150685,670152,231472,102385,243742,453731,343740,295931,639167,485305,300674,508665,320354
ND,Whiting Petroleum Corp (WLL),Whiting Petroleum Corp,WLL,blended estimate,Mcf,2017383,1611941,2016174,979531,1135566,1480486,1543950,2239713,1765667,2193630,1505213,1471170,906890,905126,1031788,694954,259953,207711,313031,397374,312030,323572,524377,451534,348552,475089,319333
ND,Whiting Petroleum Corp (WLL),Whiting Petroleum Corp,WLL,produced oil,Bbl,3885972,3307578,3540345,3283212,3540823,3519427,3600933,3802856,3583501,3862459,3635883,3668453,3277928,3131730,3362352,3190740,2903228,2755360,2713138,2707601,2704565,2689370,2605964,2574829,2450089,2226242,
ND,Whiting Petroleum Corp (WLL),Whiting Petroleum Corp,WLL,produced gas,Mcf,10347675,9199942,10124055,9654349,9938641,10008375,9597910,9840929,9402813,10192964,9711284,9975462,8831806,8076809,8642466,8341442,7976723,7474569,7388684,7540432,7588114,7457440,7402110,7566253,7383957,6479769,
NM,Ameredev LLC (Private),Ameredev LLC,Private,blended estimate equivalent co2 released,Metric tons,3859.1804,5437.3656,4746.7760,3295.6720,2569.2980,5994.9008,7788.5596,9986.7520,11769.4508,12846.9284,8374.4812,11316.2548,24504.7516,14569.0184,3599.3736,894.6648,,1519.0012,510.1332,303.8112,178.2644,312.3052,,87.2416,,,
NM,Ameredev LLC (Private),Ameredev LLC,Private,reported equivalent co2 released,Metric tons,451.8260,5076.7816,2363.9076,1148.2792,958.9452,925.6268,2023.1612,5525.7580,7618.4056,1383.5904,4905.5864,3477.8820,2254.0336,3387.1332,2649.4704,1482.2852,,2745.6444,723.5792,310.9900,71.5140,23.5640,,10.3024,,,
NM,Ameredev LLC (Private),Ameredev LLC,Private,sat estimated volume,Mcf,132601,105801,130102,99326,76272,201901,247336,263645,290520,443618,216119,349537,853202,469907,83016,5602,,5336,5413,5412,5201,10967,,2997,,,
NM,Ameredev LLC (Private),Ameredev LLC,Private,reported volume,Mcf,8245,92642,43137,20954,17499,16891,36919,100835,139022,25248,89518,63465,41132,61809,48348,27049,,50103,13204,5675,1305,430,,188,,,
NM,Ameredev LLC (Private),Ameredev LLC,Private,sat estimate lower,Mcf,103213,82353,101268,77313,59368,157155,192520,205215,226134,345301,168222,272071,664111,365763,64617,4361,,4153,4213,4213,4048,8537,,2333,,,
NM,Ameredev LLC (Private),Ameredev LLC,Private,sat estimate upper,Mcf,161989,129250,158936,121340,93175,246648,302151,322075,354907,541935,264017,427004,1042293,574050,101414,6844,,6518,6613,6612,6353,13398,,3661,,,
NM,Ameredev LLC (Private),Ameredev LLC,Private,blended estimate,Mcf,70423,99222,86620,60140,46885,109396,142127,182240,214771,234433,152819,206501,447167,265858,65682,16326,,27719,9309,5544,3253,5699,,1592,,,
NM,Ameredev LLC (Private),Ameredev LLC,Private,produced oil,Bbl,128905,107326,113445,90525,74138,166562,158772,160781,163487,168277,123748,129073,370395,348919,301840,205723,,214162,213373,184873,205864,200383,,134845,,,
NM,Ameredev LLC (Private),Ameredev LLC,Private,produced gas,Mcf,404779,366669,369095,338523,255421,370575,402976,547297,644953,633758,556225,516914,635936,597127,560390,365687,,444749,510579,584332,637068,588215,,533237,,,
NM,Apache Corp (APA),Apache Corp,APA,blended estimate equivalent co2 released,Metric tons,3446.3172,566.0292,2005.5704,2017.7908,2967.6940,5055.5740,4538.7004,3983.8504,3100.6936,5765.1244,3097.2960,1320.0772,585.3188,1720.8296,3060.9636,294.6596,1334.0512,1876.6260,303.9208,2572.2024,205.3904,410.1780,592.2784,751.6368,1033.8568,1765.9300,112.7236
NM,Apache Corp (APA),Apache Corp,APA,reported equivalent co2 released,Metric tons,4120.5764,554.1376,1451.5972,1927.0968,1881.8320,3541.6692,5040.7232,2648.3196,3079.1024,2556.7488,1563.4440,1690.4156,798.2168,2491.6464,3823.0672,298.3860,555.7268,1631.7248,179.9632,807.7520,210.2128,532.6012,251.0936,126.0948,366.1188,436.5368,
NM,Apache Corp (APA),Apache Corp,APA,sat estimated volume,Mcf,50585,10546,46706,38476,73971,119881,73663,97069,56977,163750,84509,17331,6796,17336,41950,5309,38547,38713,7808,79137,3660,5250,17034,25132,31052,56483,2057
NM,Apache Corp (APA),Apache Corp,APA,reported volume,Mcf,75193,10112,26489,35166,34340,64629,91984,48327,56188,46656,28530,30847,14566,45468,69764,5445,10141,29776,3284,14740,3836,9719,4582,2301,6681,7966,
NM,Apache Corp (APA),Apache Corp,APA,sat estimate lower,Mcf,44251,9225,40858,33658,64708,104869,64439,84914,49842,143245,73927,15161,5945,15165,36697,4644,33721,33866,6830,69227,3202,4593,14901,21985,27164,49411,1799
NM,Apache Corp (APA),Apache Corp,APA,sat estimate upper,Mcf,56919,11866,52555,43294,83233,134892,82887,109224,64111,184254,95091,19501,7647,19507,47203,5973,43374,43561,8785,89046,4118,5908,19167,28279,34940,63556,2314
NM,Apache Corp (APA),Apache Corp,APA,blended estimate,Mcf,62889,10329,36598,36821,54155,92255,82823,72698,56582,105203,56520,24089,10681,31402,55857,5377,24344,34245,5546,46938,3748,7485,10808,13716,18866,32225,2057
NM,Apache Corp (APA),Apache Corp,APA,produced oil,Bbl,744461,635114,679333,625050,643920,614420,622149,575662,551188,666868,732003,906746,935969,791855,790654,724764,692013,631037,631581,628954,584064,581616,563025,549871,543117,396633,
NM,Apache Corp (APA),Apache Corp,APA,produced gas,Mcf,3004910,2697205,2968819,2826078,2938696,2835396,2960809,2897767,2770054,2953512,2899407,3451219,3589928,3184933,3259270,3115473,3129357,2928839,2976023,3009839,2844166,2821948,2764049,2744450,2703999,2072316,
NM,BTA Oil Producers LLC (Private),BTA Oil Producers LLC,Private,reported equivalent co2 released,Metric tons,2776.7160,1880.2428,1542.8392,423.3300,362.0636,141.7128,108.2300,1549.4700,1005.0868,656.6136,298.8244,385.9564,223.9128,6210.2100,2413.6660,1138.9084,235.7496,624.2268,661.1620,293.6184,771.1456,602.6904,854.8800,330.4988,2632.6468,1460.2008,
NM,BTA Oil Producers LLC (Private),BTA Oil Producers LLC,Private,blended estimate equivalent co2 released,Metric tons,1998.4464,1316.7344,1749.4900,1413.0180,2894.5360,932.9152,1255.8516,5004.3360,3806.2984,905.0220,1894.4908,405.4652,3580.9060,5473.9172,1701.8688,1420.6900,700.7276,432.3720,3180.4276,384.8604,1100.5484,975.6592,3500.5144,762.2680,3600.7436,2564.9688,2572.6956
NM,BTA Oil Producers LLC (Private),BTA Oil Producers LLC,Private,sat estimated volume,Mcf,22267,13745,35697,43844,99032,31461,43858,154364,120574,21048,63688,7755,126605,86454,18068,31067,21271,4389,104009,8688,26095,24609,112157,21789,83372,66966,46947
NM,BTA Oil Producers LLC (Private),BTA Oil Producers LLC,Private,reported volume,Mcf,50670,34311,28154,7725,6607,2586,1975,28275,18341,11982,5453,7043,4086,113325,44045,20783,4302,11391,12065,5358,14072,10998,15600,6031,48041,26646,
NM,BTA Oil Producers LLC (Private),BTA Oil Producers LLC,Private,sat estimate lower,Mcf,15506,9571,24858,30532,68963,21909,30542,107496,83965,14657,44351,5400,88165,60204,12582,21634,14813,3056,72429,6050,18172,17137,78103,15173,58058,46634,32693
NM,BTA Oil Producers LLC (Private),BTA Oil Producers LLC,Private,sat estimate upper,Mcf,29027,17918,46535,57157,129101,41014,57175,201233,157183,27439,83025,10110,165045,112703,23554,40500,27730,5721,135588,11326,34017,32081,146210,28405,108686,87299,61201
NM,BTA Oil Producers LLC (Private),BTA Oil Producers LLC,Private,blended estimate,Mcf,36468,24028,31925,25785,52820,17024,22917,91320,69458,16515,34571,7399,65345,99889,31056,25925,12787,7890,58037,7023,20083,17804,63878,13910,65707,46806,46947
NM,BTA Oil Producers LLC (Private),BTA Oil Producers LLC,Private,produced oil,Bbl,302540,299071,407746,385908,392984,389935,402469,469550,480634,475655,530546,426571,427914,498170,498461,452258,338920,540666,516521,463136,612176,630409,758659,855677,839880,739669,
NM,BTA Oil Producers LLC (Private),BTA Oil Producers LLC,Private,produced gas,Mcf,1917241,1884848,2119253,1951278,2037956,1897236,2150375,2366761,2317834,2320603,2371999,2189453,2143344,2325933,2439492,1995171,1719327,2395124,2361000,2176057,2393844,2451288,2514317,2669416,2610161,2204616,
NM,Centennial Resource Dev (CDEV),Centennial Resource Dev,CDEV,blended estimate equivalent co2 released,Metric tons,2217.9204,1804.3996,1637.8624,2633.1400,2715.7784,4173.1296,2612.3160,1683.0176,2088.7568,9552.7908,3775.4460,8699.3904,21009.1692,13821.6012,5989.7496,4135.8108,4704.4156,1125.1536,1133.4832,883.8144,538.5196,210.4868,56.2248,145.8776,340.1984,148.7820,840.3032
NM,Centennial Resource Dev (CDEV),Centennial Resource Dev,CDEV,reported equivalent co2 released,Metric tons,1862.8164,2172.8200,2440.0796,2066.2340,3201.9640,1336.2432,2321.0540,1826.6484,1256.6188,7255.5200,2169.8608,9350.5788,20420.2884,11061.7088,9845.2584,6843.1500,6930.6656,1768.5604,1171.1856,810.1084,154.3716,60.5540,31.0168,50.6900,285.7820,74.9116,
NM,Centennial Resource Dev (CDEV),Centennial Resource Dev,CDEV,sat estimated volume,Mcf,46953,26204,15250,58394,40685,127920,52984,28092,53300,216242,98194,146865,394125,302582,38947,26066,45221,8791,19997,17473,16836,6578,1485,4400,7202,4063,15334
NM,Centennial Resource Dev (CDEV),Centennial Resource Dev,CDEV,reported volume,Mcf,33993,39650,44527,37705,58430,24384,42355,33333,22931,132400,39596,170631,372633,201856,179658,124875,126472,32273,21372,14783,2817,1105,566,925,5215,1367,
NM,Centennial Resource Dev (CDEV),Centennial Resource Dev,CDEV,sat estimate lower,Mcf,38121,21274,12381,47410,33032,103857,43018,22807,43274,175564,79723,119238,319986,245663,31621,21163,36715,7137,16235,14186,13669,5340,1206,3572,5847,3299,12449
NM,Centennial Resource Dev (CDEV),Centennial Resource Dev,CDEV,sat estimate upper,Mcf,55786,31133,18118,69379,48338,151984,62951,33376,63327,256919,116665,174491,468264,359501,46273,30970,53728,10445,23758,20759,20003,7815,1765,5227,8556,4827,18218
NM,Centennial Resource Dev (CDEV),Centennial Resource Dev,CDEV,blended estimate,Mcf,40473,32927,29888,48050,49558,76152,47670,30712,38116,174321,68895,158748,383379,252219,109302,75471,85847,20532,20684,16128,9827,3841,1026,2662,6208,2715,15334
NM,Centennial Resource Dev (CDEV),Centennial Resource Dev,CDEV,produced oil,Bbl,263801,231144,244312,299169,315088,285336,395235,353894,367117,407646,553161,487617,562322,507574,545777,532827,445977,459786,391778,433537,537821,470159,423169,398896,385788,303997,
NM,Centennial Resource Dev (CDEV),Centennial Resource Dev,CDEV,produced gas,Mcf,401070,391179,443310,570190,587383,580280,668776,603772,606384,615533,771257,760614,909387,791795,879318,903876,790437,841693,786757,818490,954030,864619,807544,771403,775825,573278,
NM,Cimarex Energy Co (XEC),Cimarex Energy Co,XEC,reported equivalent co2 released,Metric tons,3181.3044,2295.1336,3696.2600,2234.7440,5361.2484,20005.3428,6691.5732,5034.0924,3810.9564,3017.6716,2369.6616,2197.0964,2299.2984,2689.4744,4841.0320,1650.8500,1642.1916,2713.2576,3264.1072,1556.2652,901.7340,1251.5772,2183.9444,1113.3168,1102.6308,2865.6564,
NM,Cimarex Energy Co (XEC),Cimarex Energy Co,XEC,blended estimate equivalent co2 released,Metric tons,10466.0328,4259.7136,7043.3892,3932.7768,6524.3784,22656.0736,9121.8436,9533.9944,5882.2320,3327.5108,3323.1816,3235.2824,2853.7100,4123.9192,4000.4000,2529.7324,3066.6628,3219.8836,2551.1044,1698.3616,1222.4784,2028.7508,2482.0016,2207.3988,1387.4264,3580.8512,2741.0960
NM,Cimarex Energy Co (XEC),Cimarex Energy Co,XEC,sat estimated volume,Mcf,323919,113583,189609,102752,140284,461804,210804,256093,145137,66375,78043,77984,62192,101430,57659,62202,81956,68003,33542,33585,28161,51204,50730,60246,30516,78395,50020
NM,Cimarex Energy Co (XEC),Cimarex Energy Co,XEC,reported volume,Mcf,58053,41882,67450,40780,97833,365061,122109,91863,69543,55067,43242,40093,41958,49078,88340,30125,29967,49512,59564,28399,16455,22839,39853,20316,20121,52293,
NM,Cimarex Energy Co (XEC),Cimarex Energy Co,XEC,sat estimate lower,Mcf,312769,109673,183082,99215,135455,445907,203548,247278,140141,64090,75356,75299,60051,97939,55675,60061,79134,65662,32388,32429,27192,49441,48984,58172,29465,75696,48298
NM,Cimarex Energy Co (XEC),Cimarex Energy Co,XEC,sat estimate upper,Mcf,335069,117493,196135,106290,145113,477700,218061,264909,150133,68660,80729,80668,64332,104922,59644,64343,84777,70343,34697,34741,29131,52966,52477,62320,31566,81093,51742
NM,Cimarex Energy Co (XEC),Cimarex Energy Co,XEC,blended estimate,Mcf,190986,77732,128529,71766,119058,413432,166457,173978,107340,60721,60642,59038,52075,75254,73000,46163,55961,58757,46553,30992,22308,37021,45292,40281,25318,65344,50020
NM,Cimarex Energy Co (XEC),Cimarex Energy Co,XEC,produced oil,Bbl,1175854,1039100,1197154,1058625,910146,834093,1166984,1338833,1087103,1078110,958669,882471,826868,948214,1437747,1363506,1105696,1203534,1083490,960525,827567,787852,782705,786561,741998,594511,
NM,Cimarex Energy Co (XEC),Cimarex Energy Co,XEC,produced gas,Mcf,6795125,6204013,7093800,6667132,6571542,6255732,6857343,7367785,6845838,6988240,6349772,6085800,5598428,5275846,6482168,6332368,6265452,6946526,6739941,6366784,5736263,5466652,5278219,5241191,4879064,3943076,
NM,ConocoPhillips Co (COP),ConocoPhillips Co,COP,reported equivalent co2 released,Metric tons,10167.8112,8180.1604,7688.1112,8429.8840,7217.8176,8272.3888,9669.2408,6273.6136,7770.5304,10806.5052,5760.2472,4915.7244,12595.1772,20215.6652,25226.9608,4577.1700,2526.6088,5181.5044,14522.0000,4125.1248,4357.5864,5023.5708,4387.5620,4672.7960,5540.4992,10089.7212,
NM,ConocoPhillips Co (COP),ConocoPhillips Co,COP,blended estimate equivalent co2 released,Metric tons,8379.7968,6200.2364,8864.1192,9001.6672,9556.9008,9831.5036,13248.0096,8955.4708,9528.7884,12039.1764,7243.2448,6078.7996,13057.0316,19218.6888,17603.8424,3671.7644,2784.8264,4512.2320,12413.1316,3554.1088,3276.6564,5655.4696,8251.8388,5971.5560,5548.5548,10497.2140,7453.5672
NM,ConocoPhillips Co (COP),ConocoPhillips Co,COP,sat estimated volume,Mcf,120288,77013,183214,174699,217080,207857,307057,212360,205968,242187,159238,132150,246695,332513,182129,50481,55529,70127,188033,54435,40068,114733,221098,132671,101398,198991,136014
NM,ConocoPhillips Co (COP),ConocoPhillips Co,COP,reported volume,Mcf,185544,149273,140294,153830,131712,150956,176446,114482,141798,197199,105114,89703,229839,368899,460346,83525,46106,94553,265000,75276,79518,91671,80065,85270,101104,184119,
NM,ConocoPhillips Co (COP),ConocoPhillips Co,COP,sat estimate lower,Mcf,101209,64797,154153,146989,182647,174888,258353,178676,173298,203772,133980,111189,207565,279771,153240,42474,46721,59004,158208,45801,33713,96534,186028,111627,85314,167428,114440
NM,ConocoPhillips Co (COP),ConocoPhillips Co,COP,sat estimate upper,Mcf,139368,89228,212275,202409,251512,240827,355762,246044,238638,280602,184495,153112,285825,385255,211018,58488,64337,81250,217858,63069,46424,132931,256168,153715,117481,230555,157588
NM,ConocoPhillips Co (COP),ConocoPhillips Co,COP,blended estimate,Mcf,152916,113143,161754,164264,174396,179407,241752,163421,173883,219693,132176,110927,238267,350706,321238,67003,50818,82340,226517,64856,59793,103202,150581,108970,101251,191555,136014
NM,ConocoPhillips Co (COP),ConocoPhillips Co,COP,produced oil,Bbl,3034686,2901933,3516260,3126961,2865566,2908106,2994276,2804063,2786232,3056569,3174904,3676043,3511369,3556134,4374678,3995469,3656253,3420148,3712844,3695344,3560608,3840705,3853375,3920823,3877347,2781267,
NM,ConocoPhillips Co (COP),ConocoPhillips Co,COP,produced gas,Mcf,12119025,11587087,13945310,13641309,13035291,13201440,13855969,13505384,13022857,13547727,13619488,15109509,14725336,14596643,16557966,16446690,15724460,14474855,15605554,15772488,15354573,15772530,15552089,15934352,16285956,11382165,
NM,Devon Energy Corp (DVN),Devon Energy Corp,DVN,blended estimate equivalent co2 released,Metric tons,6697.6012,7829.5500,21592.6248,33361.4180,33924.5428,25086.1796,18089.3704,12615.7272,16075.0868,12680.0624,15091.3720,14188.1036,6925.4048,5438.3520,6750.0996,4219.3808,3865.3728,3407.4640,6449.3572,4025.6628,3046.9896,5540.6636,2887.0284,5042.7508,3129.1896,6480.0452,6558.9572
NM,Devon Energy Corp (DVN),Devon Energy Corp,DVN,reported equivalent co2 released,Metric tons,10373.0920,10390.5732,31120.4268,30595.8264,36029.0272,37485.0632,29245.1160,19101.8004,19276.2836,12888.4668,5929.3052,7863.1424,6347.2648,6735.4132,7972.5780,3886.6352,2416.6252,4169.0196,5639.5776,4102.2184,2882.1512,3801.6952,2209.8648,4391.4528,3788.5980,4689.7292,
NM,Devon Energy Corp (DVN),Devon Energy Corp,DVN,sat estimated volume,Mcf,55149,96140,220161,659252,580657,231521,126526,111854,234924,227585,442580,374326,136927,75571,100868,83068,96973,48283,132467,72064,58610,132840,65039,103905,45069,150919,119689
NM,Devon Energy Corp (DVN),Devon Energy Corp,DVN,reported volume,Mcf,189290,189609,567891,558318,657464,684034,533670,348573,351757,235191,108199,143488,115826,122909,145485,70924,44099,76077,102912,74858,52594,69374,40326,80136,69135,85579,
NM,Devon Energy Corp (DVN),Devon Energy Corp,DVN,sat estimate lower,Mcf,50031,87219,199730,598073,526772,210036,114785,101474,213123,206465,401509,339588,124220,68558,91508,75360,87974,43802,120174,65376,53171,120512,59003,94263,40887,136913,108582
NM,Devon Energy Corp (DVN),Devon Energy Corp,DVN,sat estimate upper,Mcf,60267,105062,240592,720430,634542,253006,138268,122235,256725,248705,483652,409063,149633,82584,110229,90777,105972,52764,144760,78752,64049,145167,71075,113548,49251,164924,130796
NM,Devon Energy Corp (DVN),Devon Energy Corp,DVN,blended estimate,Mcf,122219,142875,394026,608785,619061,457777,330098,230214,293341,231388,275390,258907,126376,99240,123177,76996,70536,62180,117689,73461,55602,101107,52683,92021,57102,118249,119689
NM,Devon Energy Corp (DVN),Devon Energy Corp,DVN,produced oil,Bbl,2432046,2648084,3232358,2965595,3017759,3113620,2949883,2943791,2963179,3149096,2935449,3166488,3675699,3615573,4294131,3922472,3625786,3504421,3476873,3614027,3621130,4616130,4591001,4446980,4784398,3517811,
NM,Devon Energy Corp (DVN),Devon Energy Corp,DVN,produced gas,Mcf,9510207,9302423,10975276,10641020,11228634,11121512,11332123,11486504,11334937,12302770,12466484,13473460,14661943,14585285,17157491,16111743,15331076,15040787,15549506,15965397,15801029,17592574,17367079,17210598,17695956,13489996,
